iter	Passed	Remaining
543	1924	1613
544	1927	1609
545	1931	1605
546	1934	1602
547	1937	1598
548	1941	1594
549	1944	1591
550	1948	1588
551	1951	1584
552	1955	1580
553	1973	1589
554	1977	1585
555	1980	1581
556	1984	1578
557	1988	1574
558	1991	1571
559	1994	1567
560	1997	1563
561	2000	1559
562	2004	1555
563	2007	1551
564	2010	1547
565	2013	1544
566	2016	1540
567	2020	1536
568	2023	1532
569	2026	1528
570	2029	1524
571	2032	1521
572	2035	1517
573	2039	1513
574	2042	1509
575	2045	1505
576	2049	1502
577	2053	1499
578	2056	1495
579	2060	1492
580	2063	1488
581	2067	1484
582	2070	1481
583	2074	1477
584	2077	1473
585	2080	1469
586	2083	1466
587	2087	1462
588	2090	1458
589	2093	1454
590	2096	1450
591	2099	1446
592	2102	1443
593	2105	1439
594	2109	1435
595	2113	1432
596	2116	1428
597	2119	1424
598	2122	1421
599	2125	1417
600	2128	1413
601	2131	1409
602	2134	1405
603	2137	1401
604	2140	1397
605	2144	1394
606	2147	1390
607	2150	1386
608	2153	1382
609	2157	1379
610	2160	1375
611	2163	1371
612	2166	1367
613	2169	1364
614	2172	1360
615	2175	1356
616	2178	1352
617	2181	1348
618	2184	1344
619	2188	1341
620	2192	1337
621	2195	1334
622	2198	1330
623	2202	1326
624	2205	1323
625	2208	1319
626	2211	1315
627	2214	1311
628	2218	1308
629	2222	1305
630	2226	1302
631	2230	1298
632	2233	1294
633	2236	1291
634	2240	1287
635	2244	1284
636	2248	1281
637	2251	1277
638	2255	1274
639	2258	1270
640	2261	1266
641	2264	1262
642	2267	1259
643	2270	1255
644	2273	1251
645	2276	1247
646	2279	1243
647	2282	1239
648	2285	1236
649	2288	1232
650	2291	1228
651	2294	1224
652	2297	1220
653	2300	1216
654	2303	1213
655	2306	1209
656	2309	1205
657	2313	1202
658	2316	1198
659	2319	1195
660	2323	1191
661	2326	1188
662	2330	1184
663	2333	1180
664	2336	1176
665	2339	1173
666	2342	1169
667	2346	1165
668	2349	1162
669	2351	1158
670	2355	1154
671	2358	1151
672	2361	1147
673	2364	1143
674	2368	1140
675	2371	1136
676	2375	1133
677	2379	1129
678	2382	1126
679	2385	1122
680	2389	1119
681	2392	1115
682	2395	1111
683	2398	1108
684	2401	1104
685	2404	1100
686	2407	1096
687	2410	1093
688	2414	1089
689	2417	1086
690	2420	1082
691	2424	1079
692	2428	1075
693	2431	1072
694	2434	1068
695	2438	1065
696	2441	1061
697	2444	1057
698	2448	1054
699	2451	1050
700	2454	1046
701	2457	1043
702	2460	1039
703	2463	1035
704	2466	1032
705	2469	1028
706	2473	1025
707	2476	1021
708	2480	1017
709	2483	1014
710	2486	1010
711	2489	1007
712	2492	1003
713	2495	999
714	2498	996
715	2501	992
716	2504	988
717	2507	985
718	2510	981
719	2514	977
720	2517	974
721	2520	970
722	2524	967
723	2527	963
724	2531	960
725	2534	956
726	2538	953
727	2541	949
728	2545	946
729	2548	942
730	2551	938
731	2555	935
732	2558	931
733	2561	928
734	2564	924
735	2567	920
736	2570	917
737	2572	913
738	2575	909
739	2578	906
740	2581	902
741	2584	898
742	2588	895
743	2591	891
744	2594	887
745	2597	884
746	2600	880
747	2603	877
748	2607	873
749	2610	870
750	2613	866
751	2616	862
752	2619	859
753	2622	855
754	2625	851
755	2628	848
756	2631	844
757	2634	841
758	2637	837
759	2640	833
760	2643	830
761	2646	826
762	2648	822
763	2652	819
764	2654	815
765	2657	811
766	2660	808
767	2663	804
768	2665	800
769	2668	796
770	2670	793
771	2673	789
772	2676	786
773	2679	782
774	2681	778
775	2684	774
776	2686	771
777	2689	767
778	2692	763
779	2694	760
780	2697	756
781	2699	752
782	2702	749
783	2705	745
784	2708	741
785	2711	738
786	2713	734
787	2716	730
788	2719	727
789	2721	723
790	2724	719
791	2727	716
792	2729	712
793	2732	708
794	2734	705
795	2737	701
796	2740	697
797	2742	694
798	2745	690
799	2747	686
800	2750	683
801	2752	679
802	2755	676
803	2758	672
804	2760	668
805	2763	665
806	2765	661
807	2768	657
808	2771	654
809	2773	650
810	2776	646
811	2778	643
812	2781	639
813	2783	636
814	2786	632
815	2789	628
816	2791	625
817	2794	621
818	2797	618
819	2800	614
820	2803	611
821	2806	607
822	2809	604
823	2811	600
824	2814	596
825	2816	593
826	2820	589
827	2822	586
828	2825	582
829	2827	579
830	2830	575
831	2832	572
832	2835	568
833	2838	564
834	2840	561
835	2843	557
836	2845	554
837	2848	550
838	2851	547
839	2853	543
840	2856	539
841	2858	536
842	2861	532
843	2863	529
844	2866	525
845	2869	522
846	2871	518
847	2874	515
848	2876	511
849	2879	508
850	2882	504
851	2884	501
852	2887	497
853	2890	494
854	2892	490
855	2895	487
856	2897	483
857	2900	480
858	2902	476
859	2905	472
860	2907	469
861	2910	465
862	2912	462
863	2915	458
864	2917	455
865	2920	451
866	2922	448
867	2925	444
868	2927	441
869	2930	437
870	2933	434
871	2935	430
872	2938	427
873	2940	423
874	2943	420
875	2945	416
876	2948	413
877	2950	409
878	2953	406
879	2955	403
880	2957	399
881	2960	396
882	2962	392
883	2965	389
884	2968	385
885	2970	382
886	2973	378
887	2975	375
888	2978	371
889	2981	368
890	2983	365
891	2986	361
892	2988	358
893	2991	354
894	2994	351
895	2997	347
896	2999	344
897	3001	340
898	3004	337
899	3006	334
900	3009	330
901	3012	327
902	3014	323
903	3017	320
904	3019	316
905	3021	313
906	3024	310
907	3026	306
908	3029	303
909	3032	299
910	3034	296
911	3037	293
912	3039	289
913	3042	286
914	3045	282
915	3047	279
916	3050	276
917	3052	272
918	3054	269
919	3057	265
920	3059	262
921	3062	259
922	3064	255
923	3067	252
924	3069	248
925	3072	245
926	3074	242
927	3077	238
928	3079	235
929	3082	232
930	3084	228
931	3087	225
932	3090	221
933	3092	218
934	3094	215
935	3097	211
936	3099	208
937	3102	205
938	3104	201
939	3107	198
940	3109	194
941	3112	191
942	3114	188
943	3117	184
944	3119	181
945	3122	178
946	3124	174
947	3127	171
948	3129	168
949	3132	164
950	3134	161
951	3137	158
952	3139	154
953	3142	151
954	3144	148
955	3147	144
956	3149	141
957	3152	138
958	3154	134
959	3156	131
960	3159	128
961	3161	124
962	3164	121
963	3166	118
964	3169	114
965	3171	111
966	3174	108
967	3177	105
968	3179	101
969	3182	98
970	3185	95
971	3188	91
972	3190	88
973	3193	85
974	3196	81
975	3198	78
976	3201	75
977	3204	72
978	3206	68
979	3209	65
980	3211	62
981	3214	58
982	3216	55
983	3219	52
984	3224	49
985	3227	45
986	3229	42
987	3232	39
988	3235	35
989	3237	32
990	3240	29
991	3242	26
992	3245	22
993	3247	19
994	3250	16
995	3253	13
996	3255	9
997	3258	6
998	3260	3
999	3263	0
993	3430	20
994	3433	17
995	3436	13
996	3439	10
997	3442	6
998	3445	3
999	3448	0
