iter	Logloss
0	0.6919425472
1	0.6908513795
2	0.6894577235
3	0.6881876309
4	0.6872350764
5	0.6858900335
6	0.6846481891
7	0.6838270214
8	0.6831181894
9	0.6819889196
10	0.6813568892
11	0.6802365775
12	0.6793355027
13	0.6783372614
14	0.6774529683
15	0.6768290003
16	0.6757398034
17	0.6746158488
18	0.6733829625
19	0.672524051
20	0.6717763404
21	0.6710509657
22	0.6701791543
23	0.6691796588
24	0.6683313179
25	0.6674860826
26	0.6667183057
27	0.666116554
28	0.665256448
29	0.6646169524
30	0.6642218364
31	0.663495745
32	0.6626322946
33	0.6621378023
34	0.6614472451
35	0.6608973315
36	0.6601243588
37	0.6594192893
38	0.6587431249
39	0.657735149
40	0.6572262042
41	0.6563829993
42	0.655548036
43	0.6546406905
44	0.6541989918
45	0.6536965566
46	0.6533146987
47	0.6522773399
48	0.6512483421
49	0.6505470948
50	0.6498466835
51	0.6491730274
52	0.6485036712
53	0.6480132997
54	0.6473560669
55	0.6466397698
56	0.6460712231
57	0.6454231277
58	0.6452099824
59	0.644180268
60	0.6434632542
61	0.6425941303
62	0.6420324516
63	0.641094051
64	0.6404644095
65	0.6400067652
66	0.6394470573
67	0.638821656
68	0.6379094133
69	0.6374984711
70	0.6372297253
71	0.6366899643
72	0.6363019551
73	0.6357177018
74	0.6349470583
75	0.6342200113
76	0.6335921017
77	0.633046488
78	0.6325436945
79	0.6321559242
80	0.6314871652
81	0.6311864088
82	0.6302357653
83	0.6298510408
84	0.6292715651
85	0.6286007159
86	0.6281706629
87	0.6277675442
88	0.6272793824
89	0.6267918178
90	0.6261139215
91	0.6257509355
92	0.6253957133
93	0.6246310419
94	0.6242035569
95	0.62352793
96	0.6230773926
97	0.6223815799
98	0.6221321838
99	0.6214284281
100	0.6209394899
101	0.6203679572
102	0.6198859467
103	0.6196437171
104	0.6191517929
105	0.6187985415
106	0.6183457944
107	0.617859245
108	0.617195204
109	0.6163502075
110	0.616018635
111	0.6155983762
112	0.6152960671
113	0.6146879252
114	0.6144811104
115	0.61398835
116	0.6133242493
117	0.6127333669
118	0.6124731015
119	0.6120561872
120	0.6118423253
121	0.6114482245
122	0.6106496314
123	0.6100969109
124	0.6096571234
125	0.6089661481
126	0.6086349935
127	0.6082589286
128	0.6077355312
129	0.6073035074
130	0.6071112049
131	0.6065720411
132	0.6062454851
133	0.6056139922
134	0.605385618
135	0.6048528444
136	0.6045274231
137	0.6040257642
138	0.6035043377
139	0.6031697193
140	0.6027055655
141	0.6022670918
142	0.6015696666
143	0.6009283196
144	0.6000525667
145	0.5996051945
146	0.5993061103
147	0.5986933699
148	0.5984890036
149	0.5980521424
150	0.5974938081
151	0.597048347
152	0.5966071261
153	0.5961844786
154	0.5958050095
155	0.5954646579
156	0.5948965293
157	0.5944899468
158	0.5942010152
159	0.5938517651
160	0.5934257731
161	0.5928766956
162	0.5922641941
163	0.5916254152
164	0.5910750835
165	0.5908713742
166	0.5901636172
167	0.5899682092
168	0.5894154886
169	0.5892637369
170	0.5889257741
171	0.5885399148
172	0.5880769554
173	0.5873063119
174	0.5869710963
175	0.5864395171
176	0.5859560136
177	0.5856099287
178	0.5852568565
179	0.5849798094
180	0.5847402076
181	0.584441422
182	0.5840155495
183	0.5834293254
184	0.5829483301
185	0.582424455
186	0.5820090337
187	0.5815708586
188	0.5810339045
189	0.5805109849
190	0.5801876538
191	0.5798515424
192	0.5793952718
193	0.5790180721
194	0.5786700165
195	0.5783113304
196	0.5778312907
197	0.5775282649
198	0.5772383778
199	0.5768755112
200	0.5764697648
201	0.5760867124
202	0.5757629036
203	0.5753157106
204	0.5751766197
205	0.574847436
206	0.5746129105
207	0.5743699046
208	0.5739758635
209	0.5736875291
210	0.5733339194
211	0.5727694338
212	0.5724564942
213	0.5720954193
214	0.5717834353
215	0.5716535415
216	0.5712828515
217	0.5708339266
218	0.5705157913
219	0.570113867
220	0.569681246
221	0.5693083463
222	0.5689432103
223	0.56866043
224	0.5682983996
225	0.567910689
226	0.5676206227
227	0.5674306493
228	0.5671078557
229	0.5668752413
230	0.5665206163
231	0.5663904836
232	0.5659312269
233	0.5654933504
234	0.5651541335
235	0.5648132444
236	0.564454618
237	0.5640928862
238	0.5636632512
239	0.5632426342
240	0.5628839482
241	0.5626911081
242	0.5624189582
243	0.5621965561
244	0.5618682682
245	0.5614569677
246	0.5610687196
247	0.5606949241
248	0.5603382088
249	0.5598968685
250	0.5595459462
251	0.5591717326
252	0.5589054354
253	0.5587736305
254	0.5586273134
255	0.5583239292
256	0.55798949
257	0.5577022903
258	0.5573720913
259	0.5572177118
260	0.5568961127
261	0.5564510696
262	0.5562485547
263	0.5558779244
264	0.5555617002
265	0.5551541621
266	0.5546373938
267	0.5542966839
268	0.5540664583
269	0.5538443549
270	0.5533749455
271	0.5529949987
272	0.5527688939
273	0.5524563127
274	0.5521477328
275	0.5518136519
276	0.5513727296
277	0.5510719732
278	0.5507808917
279	0.5503930019
280	0.5502168838
281	0.5498658421
282	0.5495704009
283	0.5490673685
284	0.5486822856
285	0.5484491337
286	0.5481401955
287	0.5477408392
288	0.5474675546
289	0.5470600165
290	0.5467531686
291	0.5464792867
292	0.5461155841
293	0.5458614103
294	0.5455336599
295	0.5451660156
296	0.5446822732
297	0.5443487895
298	0.5441413178
299	0.5439041048
300	0.5435923
301	0.5433804686
302	0.5430593472
303	0.5427243705
304	0.5425229903
305	0.542196076
306	0.5418623534
307	0.5416170781
308	0.5413645765
309	0.5411657643
310	0.5407151672
311	0.5404682197
312	0.5401644772
313	0.5399050479
314	0.5397045038
315	0.5394573772
316	0.5391300448
317	0.5388751543
318	0.5385406554
319	0.5382187576
320	0.5380335022
321	0.5378976363
322	0.53753256
323	0.5373086052
324	0.537001817
325	0.5365748098
326	0.5364250288
327	0.5361801118
328	0.5358707555
329	0.5355814656
330	0.5350857789
331	0.5349757125
332	0.5347813198
333	0.5341501255
334	0.5337962768
335	0.5334217049
336	0.5331063765
337	0.5329992365
338	0.5325937887
339	0.5323437357
340	0.5320843661
341	0.5318104246
342	0.5315117584
343	0.5311635236
344	0.531032734
345	0.530658162
346	0.5303744262
347	0.5300095291
348	0.5298611814
349	0.5297459194
350	0.5294967024
351	0.5291936766
352	0.5290994364
353	0.5288597152
354	0.5286803721
355	0.5284601798
356	0.5281476583
357	0.5279155216
358	0.5276686338
359	0.5273866299
360	0.5271854886
361	0.5269663712
362	0.5266382027
363	0.5263899413
364	0.5261946527
365	0.5259534384
366	0.5255854956
367	0.5252671214
368	0.5250041088
369	0.5247275993
370	0.5244768893
371	0.5241886146
372	0.5240150646
373	0.5237091124
374	0.5235704396
375	0.5233313156
376	0.5229587742
377	0.5226557483
378	0.52242827
379	0.5222612892
380	0.522042769
381	0.5216912495
382	0.5214961401
383	0.5212217805
384	0.5209627693
385	0.520804269
386	0.5206463659
387	0.5204719797
388	0.52020407
389	0.5200733999
390	0.5198151053
391	0.5195414026
392	0.5193442029
393	0.5189610311
394	0.5188262999
395	0.5185051188
396	0.5183196245
397	0.5180578064
398	0.5179225974
399	0.5176388615
400	0.5174350925
401	0.5173451523
402	0.5170699566
403	0.5168500031
404	0.5166013833
405	0.5163519275
406	0.5161783177
407	0.5160480059
408	0.5158687823
409	0.5156909323
410	0.515348789
411	0.5151179663
412	0.5148865463
413	0.5146661747
414	0.514511198
415	0.514267356
416	0.5140511052
417	0.5139244363
418	0.5136244563
419	0.5132597384
420	0.5130795593
421	0.5128882123
422	0.5126327843
423	0.5124459164
424	0.5121643903
425	0.5118670977
426	0.5115553526
427	0.5113175424
428	0.5110661158
429	0.5107985644
430	0.5106218491
431	0.5103193608
432	0.5101611591
433	0.5099489096
434	0.5096025859
435	0.5093336012
436	0.5091359835
437	0.5088830638
438	0.5086085848
439	0.5084078018
440	0.5081152272
441	0.5078153069
442	0.5076210336
443	0.5073490628
444	0.5071013986
445	0.5067898327
446	0.5066358712
447	0.5064295939
448	0.5062225999
449	0.5060577691
450	0.5057844845
451	0.5054549424
452	0.50518763
453	0.504993476
454	0.5047250886
455	0.5045003574
456	0.5042922287
457	0.504108108
458	0.5038190569
459	0.5035807093
460	0.5033502448
461	0.5031114194
462	0.502832939
463	0.5025864693
464	0.5023931514
465	0.5022132709
466	0.5019978562
467	0.501781068
468	0.5015484536
469	0.5013148836
470	0.501107591
471	0.5009481352
472	0.500766672
473	0.500613905
474	0.5004935666
475	0.5003471598
476	0.4999928932
477	0.4997257001
478	0.4995016856
479	0.4992185768
480	0.4990806804
481	0.4989065629
482	0.4987038092
483	0.4985041908
484	0.4982696951
485	0.4979645193
486	0.4977268883
487	0.4974134412
488	0.4972003855
489	0.4969449575
490	0.4968480299
491	0.4966058003
492	0.4963633618
493	0.4960098416
494	0.4957994734
495	0.4955608271
496	0.4952985013
497	0.4950651703
498	0.4947695499
499	0.4945409965
500	0.4942488698
501	0.4940075361
502	0.4937523172
503	0.493599371
504	0.4931895635
505	0.4929041853
506	0.4926503997
507	0.4924304462
508	0.4921218663
509	0.4918126593
510	0.4916647596
511	0.4915537974
512	0.4912811697
513	0.4910043616
514	0.4908500716
515	0.4905581241
516	0.4901973478
517	0.4900349059
518	0.48977046
519	0.4895140168
520	0.4893088742
521	0.4890211968
522	0.4887412532
523	0.4883798498
524	0.4880717179
525	0.4877871161
526	0.4876574611
527	0.4875338381
528	0.48716488
529	0.4869773551
530	0.4867673154
531	0.4865423453
532	0.4863299465
533	0.4860590806
534	0.4858403514
535	0.4856046613
536	0.485374376
537	0.4851103781
538	0.4849206734
539	0.4846435069
540	0.4844395587
541	0.484259081
542	0.4840746616
543	0.4838495422
544	0.4835771833
545	0.4833008231
